iteration,hazan_empirical_entropy_normalized,uniform_policy_empirical_entropy_normalized,best_theoretical_entropy_normalized
1.000000000000000000e+00,3.860188058544011813e-02,3.747643455474856555e+00,5.000000000000000000e+00
2.000000000000000000e+00,3.660940172176240903e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.000000000000000000e+00,3.858392762938103626e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.000000000000000000e+00,2.800427471901767440e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.000000000000000000e+00,3.853547729938450850e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.000000000000000000e+00,4.156183516979188752e+00,3.747643455474856555e+00,5.000000000000000000e+00
7.000000000000000000e+00,4.571428796674661399e+00,3.747643455474856555e+00,5.000000000000000000e+00
8.000000000000000000e+00,4.416792839327821518e+00,3.747643455474856555e+00,5.000000000000000000e+00
9.000000000000000000e+00,4.316289025765779996e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.000000000000000000e+01,4.206026013590917323e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.100000000000000000e+01,4.409042261645863547e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.200000000000000000e+01,4.078177109356552421e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.300000000000000000e+01,3.925978015938267340e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.400000000000000000e+01,3.580010613588851420e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.500000000000000000e+01,3.365815656599463690e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.600000000000000000e+01,3.606233920971928963e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.700000000000000000e+01,3.380144857911116407e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.800000000000000000e+01,3.249255013215305077e+00,3.747643455474856555e+00,5.000000000000000000e+00
1.900000000000000000e+01,3.306433145564966924e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.000000000000000000e+01,3.395159262845411252e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.100000000000000000e+01,3.337110767728480809e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.200000000000000000e+01,3.192387420547992516e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.300000000000000000e+01,3.540093382231893404e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.400000000000000000e+01,3.700558214808607804e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.500000000000000000e+01,3.839204211456486604e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.600000000000000000e+01,3.811081851108517604e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.700000000000000000e+01,3.977822045013034824e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.800000000000000000e+01,3.899657995661971466e+00,3.747643455474856555e+00,5.000000000000000000e+00
2.900000000000000000e+01,4.049978388676445995e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.000000000000000000e+01,4.215251048749595775e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.100000000000000000e+01,4.228236207570934546e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.200000000000000000e+01,4.307905047167162493e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.300000000000000000e+01,4.263961287799331146e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.400000000000000000e+01,4.423335567019490711e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.500000000000000000e+01,4.449904078523609918e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.600000000000000000e+01,4.402981008304440280e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.700000000000000000e+01,4.308630070435566672e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.800000000000000000e+01,4.389713783281863790e+00,3.747643455474856555e+00,5.000000000000000000e+00
3.900000000000000000e+01,4.362098633552843552e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.000000000000000000e+01,4.399398562910366905e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.100000000000000000e+01,4.390491202638486357e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.200000000000000000e+01,4.381937843957818934e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.300000000000000000e+01,4.432940759202441683e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.400000000000000000e+01,4.413781456125087210e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.500000000000000000e+01,4.483043751385718423e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.600000000000000000e+01,4.530432960242669616e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.700000000000000000e+01,4.567206901927571394e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.800000000000000000e+01,4.541162647896513249e+00,3.747643455474856555e+00,5.000000000000000000e+00
4.900000000000000000e+01,4.543313539070362950e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.000000000000000000e+01,4.545377751129683119e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.100000000000000000e+01,4.515124402971902207e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.200000000000000000e+01,4.505179977748223763e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.300000000000000000e+01,4.540892186387457841e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.400000000000000000e+01,4.511274968605315294e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.500000000000000000e+01,4.444323610254261148e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.600000000000000000e+01,4.433900846361313874e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.700000000000000000e+01,4.444236320090301007e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.800000000000000000e+01,4.384361693604166277e+00,3.747643455474856555e+00,5.000000000000000000e+00
5.900000000000000000e+01,4.321658178118390481e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.000000000000000000e+01,4.349989824514782555e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.100000000000000000e+01,4.331289440443931049e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.200000000000000000e+01,4.329634530412501903e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.300000000000000000e+01,4.301084644604737051e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.400000000000000000e+01,4.292543863873756749e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.500000000000000000e+01,4.309127503894097266e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.600000000000000000e+01,4.271120970303463160e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.700000000000000000e+01,4.288147832542548166e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.800000000000000000e+01,4.317294210763297890e+00,3.747643455474856555e+00,5.000000000000000000e+00
6.900000000000000000e+01,4.297694473349637612e+00,3.747643455474856555e+00,5.000000000000000000e+00
7.000000000000000000e+01,4.268670118983969530e+00,3.747643455474856555e+00,5.000000000000000000e+00
7.100000000000000000e+01,4.297027060814781585e+00,3.747643455474856555e+00,5.000000000000000000e+00
7.200000000000000000e+01,4.244559957924628257e+00,3.747643455474856555e+00,5.000000000000000000e+00
7.300000000000000000e+01,4.304966528104995582e+00,3.747643455474856555e+00,5.000000000000000000e+00
