iteration,empirical_entropy_maxent,empirical_entropy_uniform_policy,theoretical_max_entropy
1.000000000000000000e+00,2.787764441354381034e-02,2.677534082305272456e+00,3.610917912644224348e+00
2.000000000000000000e+00,2.537759387492990015e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.000000000000000000e+00,2.817033046872442270e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.000000000000000000e+00,2.049674302157064254e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.000000000000000000e+00,2.819621674250893051e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.000000000000000000e+00,3.173842977859023140e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.000000000000000000e+00,3.156257028433696377e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.000000000000000000e+00,3.095647403884261184e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.000000000000000000e+00,2.854796604325577025e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.000000000000000000e+01,2.490195242763038941e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.100000000000000000e+01,2.905713262173249767e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.200000000000000000e+01,2.637198827040449167e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.300000000000000000e+01,2.454552350669751526e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.400000000000000000e+01,2.533564513675435670e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.500000000000000000e+01,2.804887235431770875e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.600000000000000000e+01,2.811146829582810369e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.700000000000000000e+01,2.730352156586470347e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.800000000000000000e+01,2.561153920241497239e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.900000000000000000e+01,2.446527760561198583e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.000000000000000000e+01,2.333340494111914687e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.100000000000000000e+01,2.441338023833183435e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.200000000000000000e+01,2.682769474485231065e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.300000000000000000e+01,2.758742026617324150e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.400000000000000000e+01,2.897682632248872014e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.500000000000000000e+01,2.946463016066913632e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.600000000000000000e+01,3.005310279467754864e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.700000000000000000e+01,3.023132333377198222e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.800000000000000000e+01,3.085982926534928339e+00,2.677534082305272456e+00,3.610917912644224348e+00
2.900000000000000000e+01,3.141917563469471375e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.000000000000000000e+01,3.129036616975872320e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.100000000000000000e+01,3.058569357367713515e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.200000000000000000e+01,3.108895573007046220e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.300000000000000000e+01,3.135535382721932773e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.400000000000000000e+01,3.138270929519344055e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.500000000000000000e+01,3.176416743041600821e+00,2.677534082305272456e+00,3.610917912644224348e+00
