"algo","setting","run","source","x17","y17","x18","y18","x175","y175_interp"
"ddpg","fully_corrective_base","fully_corrective_base_s0","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_base\fully_corrective_base_s0\progress.txt","17","4375.2744","18","4337.3677","17.5","4356.32105"
"ddpg","fully_corrective_base","fully_corrective_base_s10","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_base\fully_corrective_base_s10\progress.txt","17","4711.319","18","4710.424","17.5","4710.8715"
"ddpg","fully_corrective_base","fully_corrective_base_s20","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_base\fully_corrective_base_s20\progress.txt","17","4714.2666","18","4724.523","17.5","4719.3948"
"ddpg","fully_corrective_eps01","fully_corrective_eps01_s0","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_eps01\fully_corrective_eps01_s0\progress.txt","17","4689.6475","18","4694.085","17.5","4691.86625"
"ddpg","fully_corrective_eps01","fully_corrective_eps01_s10","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_eps01\fully_corrective_eps01_s10\progress.txt","17","4739.8677","18","4743.5073","17.5","4741.6875"
"ddpg","fully_corrective_eps01","fully_corrective_eps01_s20","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_eps01\fully_corrective_eps01_s20\progress.txt","17","4723.3","18","4720.551","17.5","4721.9255"
"ddpg","fully_corrective_eps05","fully_corrective_eps05_s0","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_eps05\fully_corrective_eps05_s0\progress.txt","17","4651.25","18","4652.602","17.5","4651.926"
"ddpg","fully_corrective_eps05","fully_corrective_eps05_s10","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_eps05\fully_corrective_eps05_s10\progress.txt","17","4731.4663","18","4727.211","17.5","4729.33865"
"ddpg","fully_corrective_eps05","fully_corrective_eps05_s20","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_eps05\fully_corrective_eps05_s20\progress.txt","17","4673.6567","18","4672.7544","17.5","4673.20555"
"ddpg","fully_corrective_eps10","fully_corrective_eps10_s0","C:\Users\akamoski1\Downloads\maxent-master\maxent-master\explore\data\ddpg\Humanoid-v2\fully_corrective_eps10\fully_corrective_eps10_s0\progress.txt","17","4642.2163","18","4656.04","17.5","4649.12815"
